date,temp_max,temp_min,precipitation,crop,price_vnd,source,is_synthetic,month,quarter,day_of_week,price_vnd_Lag_1,price_vnd_Lag_7,price_vnd_Lag_14,price_vnd_Lag_30,risk_label,temp_max_norm,temp_min_norm,precipitation_norm,price_vnd_norm
2024-04-27,29.0,16.5,0.8,Cà phê Arabica,152200.0,AI_Synthetic,True,4,2,5,152200.0,152200.0,152200.0,152200.0,0,1.0,0.8300000000000001,0.011851851851851853,0.20434782608695654
2024-04-28,28.1,16.9,0.4,Cà phê Arabica,149400.0,AI_Synthetic,True,4,2,6,152200.0,152200.0,152200.0,152200.0,0,0.9256198347107439,0.8699999999999999,0.0059259259259259265,0.08260869565217391
2024-04-29,28.9,15.2,0.4,Cà phê Arabica,149300.0,AI_Synthetic,True,4,2,0,149400.0,152200.0,152200.0,152200.0,0,0.9917355371900826,0.7,0.0059259259259259265,0.0782608695652174
2024-04-30,29.0,16.2,0.7,Cà phê Arabica,150500.0,AI_Synthetic,True,4,2,1,149300.0,152200.0,152200.0,152200.0,0,1.0,0.8,0.01037037037037037,0.13043478260869565
2024-05-01,28.3,17.5,2.2,Cà phê Arabica,151300.0,AI_Synthetic,True,5,2,2,150500.0,152200.0,152200.0,152200.0,0,0.9421487603305786,0.93,0.0325925925925926,0.16521739130434782
2024-05-02,27.8,17.0,4.3,Cà phê Arabica,148500.0,AI_Synthetic,True,5,2,3,151300.0,152200.0,152200.0,152200.0,0,0.9008264462809918,0.8800000000000001,0.0637037037037037,0.043478260869565216
2024-05-03,28.2,16.0,0.5,Cà phê Arabica,147600.0,AI_Synthetic,True,5,2,4,148500.0,152200.0,152200.0,152200.0,0,0.9338842975206612,0.78,0.007407407407407408,0.004347826086956522
2024-05-04,26.8,15.7,13.6,Cà phê Arabica,148200.0,AI_Synthetic,True,5,2,5,147600.0,152200.0,152200.0,152200.0,0,0.8181818181818182,0.75,0.20148148148148148,0.030434782608695653
2024-05-05,24.7,16.2,14.2,Cà phê Arabica,151800.0,AI_Synthetic,True,5,2,6,148200.0,149400.0,152200.0,152200.0,0,0.6446280991735537,0.8,0.21037037037037035,0.18695652173913044
2024-05-06,24.9,15.4,0.0,Cà phê Arabica,151400.0,AI_Synthetic,True,5,2,0,151800.0,149300.0,152200.0,152200.0,0,0.6611570247933883,0.7200000000000001,0.0,0.16956521739130434
2024-05-07,23.6,15.6,2.6,Cà phê Arabica,152400.0,AI_Synthetic,True,5,2,1,151400.0,150500.0,152200.0,152200.0,0,0.553719008264463,0.74,0.03851851851851852,0.21304347826086956
2024-05-08,25.4,14.8,1.5,Cà phê Arabica,147800.0,AI_Synthetic,True,5,2,2,152400.0,151300.0,152200.0,152200.0,0,0.7024793388429751,0.6600000000000001,0.022222222222222223,0.013043478260869565
2024-05-09,24.5,16.7,6.7,Cà phê Arabica,149900.0,AI_Synthetic,True,5,2,3,147800.0,148500.0,152200.0,152200.0,0,0.628099173553719,0.85,0.09925925925925926,0.10434782608695652
2024-05-10,25.5,15.8,0.3,Cà phê Arabica,150300.0,AI_Synthetic,True,5,2,4,149900.0,147600.0,152200.0,152200.0,0,0.7107438016528926,0.7600000000000001,0.0044444444444444444,0.12173913043478261
2024-05-11,24.4,16.3,3.2,Cà phê Arabica,148100.0,AI_Synthetic,True,5,2,5,150300.0,148200.0,152200.0,152200.0,0,0.6198347107438016,0.8100000000000002,0.04740740740740741,0.02608695652173913
2024-05-12,24.9,15.7,2.8,Cà phê Arabica,147500.0,AI_Synthetic,True,5,2,6,148100.0,151800.0,149400.0,152200.0,0,0.6611570247933883,0.75,0.04148148148148148,0.0
2024-05-13,25.8,15.7,3.4,Cà phê Arabica,148200.0,AI_Synthetic,True,5,2,0,147500.0,151400.0,149300.0,152200.0,0,0.7355371900826447,0.75,0.05037037037037037,0.030434782608695653
2024-05-14,24.7,16.1,19.3,Cà phê Arabica,152400.0,AI_Synthetic,True,5,2,1,148200.0,152400.0,150500.0,152200.0,0,0.6446280991735537,0.7900000000000003,0.2859259259259259,0.21304347826086956
2024-05-15,23.6,15.9,4.6,Cà phê Arabica,151200.0,AI_Synthetic,True,5,2,2,152400.0,147800.0,151300.0,152200.0,0,0.553719008264463,0.7700000000000001,0.06814814814814814,0.1608695652173913
2024-05-16,23.0,16.2,4.2,Cà phê Arabica,148000.0,AI_Synthetic,True,5,2,3,151200.0,149900.0,148500.0,152200.0,0,0.5041322314049588,0.8,0.06222222222222223,0.021739130434782608
2024-05-17,24.6,16.1,2.7,Cà phê Arabica,150100.0,AI_Synthetic,True,5,2,4,148000.0,150300.0,147600.0,152200.0,0,0.6363636363636366,0.7900000000000003,0.04,0.11304347826086956
2024-05-18,24.6,16.4,7.7,Cà phê Arabica,152400.0,AI_Synthetic,True,5,2,5,150100.0,148100.0,148200.0,152200.0,0,0.6363636363636366,0.82,0.11407407407407408,0.21304347826086956
2024-05-19,25.1,16.2,6.5,Cà phê Arabica,148200.0,AI_Synthetic,True,5,2,6,152400.0,147500.0,151800.0,152200.0,0,0.6776859504132233,0.8,0.0962962962962963,0.030434782608695653
2024-05-20,23.8,15.8,1.4,Cà phê Arabica,150300.0,AI_Synthetic,True,5,2,0,148200.0,148200.0,151400.0,152200.0,0,0.5702479338842976,0.7600000000000001,0.02074074074074074,0.12173913043478261
2024-05-21,24.4,17.0,11.2,Cà phê Arabica,149400.0,AI_Synthetic,True,5,2,1,150300.0,152400.0,152400.0,152200.0,0,0.6198347107438016,0.8800000000000001,0.16592592592592592,0.08260869565217391
2024-05-22,23.7,15.8,5.7,Cà phê Arabica,151700.0,AI_Synthetic,True,5,2,2,149400.0,151200.0,147800.0,152200.0,0,0.5619834710743802,0.7600000000000001,0.08444444444444445,0.1826086956521739
2024-05-23,23.3,16.5,3.4,Cà phê Arabica,149600.0,AI_Synthetic,True,5,2,3,151700.0,148000.0,149900.0,152200.0,0,0.5289256198347109,0.8300000000000001,0.05037037037037037,0.09130434782608696
2024-05-24,24.3,15.2,2.2,Cà phê Arabica,150100.0,AI_Synthetic,True,5,2,4,149600.0,150100.0,150300.0,152200.0,0,0.6115702479338844,0.7,0.0325925925925926,0.11304347826086956
2024-05-25,24.8,15.9,0.4,Cà phê Arabica,151200.0,AI_Synthetic,True,5,2,5,150100.0,152400.0,148100.0,152200.0,0,0.6528925619834711,0.7700000000000001,0.0059259259259259265,0.1608695652173913
2024-05-26,24.6,16.2,3.9,Cà phê Arabica,153400.0,AI_Synthetic,True,5,2,6,151200.0,148200.0,147500.0,152200.0,0,0.6363636363636366,0.8,0.057777777777777775,0.2565217391304348
2024-05-27,25.5,17.1,1.6,Cà phê Arabica,148500.0,AI_Synthetic,True,5,2,0,153400.0,150300.0,148200.0,152200.0,0,0.7107438016528926,0.8900000000000002,0.023703703703703706,0.043478260869565216
2024-05-28,25.4,17.9,3.9,Cà phê Arabica,152000.0,AI_Synthetic,True,5,2,1,148500.0,149400.0,152400.0,149400.0,0,0.7024793388429751,0.97,0.057777777777777775,0.1956521739130435
2024-05-29,24.8,17.7,4.5,Cà phê Arabica,149900.0,AI_Synthetic,True,5,2,2,152000.0,151700.0,151200.0,149300.0,0,0.6528925619834711,0.95,0.06666666666666667,0.10434782608695652
2024-05-30,23.7,17.8,1.5,Cà phê Arabica,150500.0,AI_Synthetic,True,5,2,3,149900.0,149600.0,148000.0,150500.0,0,0.5619834710743802,0.9600000000000002,0.022222222222222223,0.13043478260869565
2024-05-31,23.5,17.3,2.2,Cà phê Arabica,152200.0,AI_Synthetic,True,5,2,4,150500.0,150100.0,150100.0,151300.0,0,0.5454545454545455,0.9100000000000001,0.0325925925925926,0.20434782608695654
2024-06-01,24.1,17.2,4.0,Cà phê Arabica,152700.0,AI_Synthetic,True,6,2,5,152200.0,151200.0,152400.0,148500.0,0,0.5950413223140497,0.9,0.05925925925925926,0.22608695652173913
2024-06-02,25.2,17.0,7.3,Cà phê Arabica,151800.0,AI_Synthetic,True,6,2,6,152700.0,153400.0,148200.0,147600.0,0,0.6859504132231404,0.8800000000000001,0.10814814814814815,0.18695652173913044
2024-06-03,25.3,16.7,10.7,Cà phê Arabica,149300.0,AI_Synthetic,True,6,2,0,151800.0,148500.0,150300.0,148200.0,0,0.694214876033058,0.85,0.1585185185185185,0.0782608695652174
2024-06-04,26.1,16.0,9.8,Cà phê Arabica,153300.0,AI_Synthetic,True,6,2,1,149300.0,152000.0,149400.0,151800.0,0,0.7603305785123968,0.78,0.1451851851851852,0.25217391304347825
2024-06-05,24.5,17.1,4.5,Cà phê Arabica,148700.0,AI_Synthetic,True,6,2,2,153300.0,149900.0,151700.0,151400.0,0,0.628099173553719,0.8900000000000002,0.06666666666666667,0.05217391304347826
2024-06-06,24.5,16.2,5.3,Cà phê Arabica,148400.0,AI_Synthetic,True,6,2,3,148700.0,150500.0,149600.0,152400.0,0,0.628099173553719,0.8,0.07851851851851852,0.0391304347826087
2024-06-07,24.0,16.0,13.3,Cà phê Arabica,151200.0,AI_Synthetic,True,6,2,4,148400.0,152200.0,150100.0,147800.0,0,0.5867768595041323,0.78,0.19703703703703704,0.1608695652173913
2024-06-08,24.9,16.8,14.9,Cà phê Arabica,149600.0,AI_Synthetic,True,6,2,5,151200.0,152700.0,151200.0,149900.0,0,0.6611570247933883,0.8600000000000001,0.22074074074074074,0.09130434782608696
2024-06-09,23.3,16.6,3.8,Cà phê Arabica,150400.0,AI_Synthetic,True,6,2,6,149600.0,151800.0,153400.0,150300.0,0,0.5289256198347109,0.8400000000000002,0.056296296296296296,0.12608695652173912
2024-06-10,21.9,16.0,3.3,Cà phê Arabica,150600.0,AI_Synthetic,True,6,2,0,150400.0,149300.0,148500.0,148100.0,0,0.4132231404958677,0.78,0.048888888888888885,0.13478260869565217
2024-06-11,24.2,15.6,0.1,Cà phê Arabica,148500.0,AI_Synthetic,True,6,2,1,150600.0,153300.0,152000.0,147500.0,0,0.6033057851239669,0.74,0.0014814814814814816,0.043478260869565216
2024-06-12,25.3,16.7,1.8,Cà phê Arabica,152700.0,AI_Synthetic,True,6,2,2,148500.0,148700.0,149900.0,148200.0,0,0.694214876033058,0.85,0.02666666666666667,0.22608695652173913
2024-06-13,25.6,16.4,5.5,Cà phê Arabica,148100.0,AI_Synthetic,True,6,2,3,152700.0,148400.0,150500.0,152400.0,0,0.7190082644628101,0.82,0.08148148148148149,0.02608695652173913
2024-06-14,25.2,16.5,6.7,Cà phê Arabica,152400.0,AI_Synthetic,True,6,2,4,148100.0,151200.0,152200.0,151200.0,0,0.6859504132231404,0.8300000000000001,0.09925925925925926,0.21304347826086956
2024-06-15,24.2,15.8,3.0,Cà phê Arabica,152800.0,AI_Synthetic,True,6,2,5,152400.0,149600.0,152700.0,148000.0,0,0.6033057851239669,0.7600000000000001,0.044444444444444446,0.23043478260869565
2024-06-16,24.5,15.5,6.5,Cà phê Arabica,149400.0,AI_Synthetic,True,6,2,6,152800.0,150400.0,151800.0,150100.0,0,0.628099173553719,0.7300000000000001,0.0962962962962963,0.08260869565217391
2024-06-17,24.2,16.1,2.6,Cà phê Arabica,152300.0,AI_Synthetic,True,6,2,0,149400.0,150600.0,149300.0,152400.0,0,0.6033057851239669,0.7900000000000003,0.03851851851851852,0.20869565217391303
2024-06-18,25.1,16.3,3.5,Cà phê Arabica,153400.0,AI_Synthetic,True,6,2,1,152300.0,148500.0,153300.0,148200.0,0,0.6776859504132233,0.8100000000000002,0.05185185185185185,0.2565217391304348
2024-06-19,25.0,17.4,5.9,Cà phê Arabica,151800.0,AI_Synthetic,True,6,2,2,153400.0,152700.0,148700.0,150300.0,0,0.6694214876033058,0.9199999999999999,0.0874074074074074,0.18695652173913044
2024-06-20,22.0,17.1,6.3,Cà phê Arabica,149800.0,AI_Synthetic,True,6,2,3,151800.0,148100.0,148400.0,149400.0,0,0.4214876033057852,0.8900000000000002,0.09333333333333334,0.1
2024-06-21,21.2,17.4,15.0,Cà phê Arabica,152400.0,AI_Synthetic,True,6,2,4,149800.0,152400.0,151200.0,151700.0,0,0.3553719008264463,0.9199999999999999,0.2222222222222222,0.21304347826086956
2024-06-22,22.1,16.5,8.2,Cà phê Arabica,153200.0,AI_Synthetic,True,6,2,5,152400.0,152800.0,149600.0,149600.0,0,0.42975206611570266,0.8300000000000001,0.12148148148148147,0.24782608695652175
2024-06-23,20.7,16.9,5.0,Cà phê Arabica,153100.0,AI_Synthetic,True,6,2,6,153200.0,149400.0,150400.0,150100.0,0,0.3140495867768595,0.8699999999999999,0.07407407407407407,0.24347826086956523
2024-06-24,22.2,16.7,1.2,Cà phê Arabica,151100.0,AI_Synthetic,True,6,2,0,153100.0,152300.0,150600.0,151200.0,0,0.4380165289256198,0.85,0.017777777777777778,0.1565217391304348
2024-06-25,22.5,16.5,12.6,Cà phê Arabica,149200.0,AI_Synthetic,True,6,2,1,151100.0,153400.0,148500.0,153400.0,0,0.46280991735537197,0.8300000000000001,0.18666666666666668,0.07391304347826087
2024-06-26,21.7,16.3,3.2,Cà phê Arabica,151400.0,AI_Synthetic,True,6,2,2,149200.0,151800.0,152700.0,148500.0,0,0.39669421487603307,0.8100000000000002,0.04740740740740741,0.16956521739130434
